Keyword,SERP Position,Link,Performance Score,First Contentful Paint,First Contentful Paint time,Speed Index,Time To Interactive,first input delay,SEO Score
keto food list for beginners,3,https://kaseytrenum.com/keto-grocery-list/,0.91,0.97,1.4 s,1,0.97,310 ms,0.86
why safflower oil is bad for you,4,https://www.mindbodygreen.com/articles/safflower-oil,0.57,0.97,1.4 s,0.2,0.01,950 ms,0.9
why safflower oil is bad for you,5,https://draxe.com/nutrition/safflower-oil/,0.39,0.33,3.5 s,0,0,520 ms,0.92
keto food list for beginners,6,https://theketoqueens.com/beginner-keto-grocery-list/,0.66,0.73,2.3 s,0.84,0.62,190 ms,0.93
keto food list for beginners,1,https://www.kevinsnaturalfoods.com/blogs/blog/ultimate-keto-grocery-list-for-beginners,0.43,0.64,2.6 s,0.45,0.1,430 ms,1
why safflower oil is bad for you,3,https://www.healthline.com/health/safflower-oil-healthy-cooking-oil,0.41,0.38,3.4 s,0.1,0,380 ms,0.77
why safflower oil is bad for you,6,https://www.livestrong.com/article/546738-the-pros-cons-of-safflower-oil/,0.6,1,1.0 s,0.01,0,"1,150 ms",0.98
why safflower oil is bad for you,8,https://supplements.selfdecode.com/blog/safflower-oil/,0.97,0.96,1.5 s,1,1,50 ms,0.86
why safflower oil is bad for you,7,https://foodforbreastcancer.com/foods/safflower-oil,1,1,1.0 s,1,1,90 ms,1
why safflower oil is bad for you,1,https://www.centrafoods.com/blog/safflower-oil-good-or-bad,0.47,0.61,2.7 s,0.22,0.09,400 ms,0.84
why safflower oil is bad for you,2,https://www.healabel.com/safflower-oil-benefits-side-effects/,0.77,0.56,2.8 s,0.92,0.63,220 ms,0.9
why safflower oil is bad for you,3,https://brightland.co/blogs/field-notes/safflower-oil-vs-olive-oil,0.35,0.64,2.6 s,0.16,0.02,370 ms,0.91
why safflower oil is bad for you,4,https://www.rxlist.com/safflower/supplements.htm,0.44,0.6,2.7 s,0.02,0,"1,480 ms",0.76
why safflower oil is bad for you,1,https://perfectketo.com/safflower-oil/,0.25,0.35,3.5 s,0.05,0.07,220 ms,0.85
why safflower oil is bad for you,7,https://www.quora.com/Why-are-seed-oils-like-canola-and-safflower-oil-now-deemed-unhealthy-and-which-oils-are-the-healthiest-to-eat,0.31,0.33,3.5 s,0.23,0.14,"2,500 ms",0.92
keto food list for beginners,5,https://perfectketo.com/ketogenic-diet-grocery-list/,0.17,0.39,3.3 s,0.01,0.06,420 ms,0.86
keto food list for beginners,2,https://www.wholesomeyum.com/keto-shopping-list/,0.64,0.79,2.2 s,0.93,0.35,380 ms,0.93
keto food list for beginners,4,https://www.goodhousekeeping.com/health/diet-nutrition/a19660747/list-of-keto-diet-foods/,0.44,0.98,1.3 s,0.1,0,"1,820 ms",1
keto food list for beginners,8,https://www.ketoconnect.net/keto-diet-shopping-list/,0.47,0.26,3.8 s,0.43,0.15,390 ms,0.93
why safflower oil is bad for you,9,https://www.lybrate.com/topic/benefits-of-safflower-oil-and-its-side-effects,0.69,0.88,1.9 s,0.64,0.22,650 ms,0.93
keto food list for beginners,7,https://www.womenshealthmag.com/weight-loss/a23494478/keto-diet-grocery-list/,0.59,0.98,1.4 s,0,0,"1,880 ms",0.93
why safflower oil is bad for you,5,https://www.verywellfit.com/safflower-oil-nutrition-facts-and-health-benefits-4164403,0.72,0.99,1.2 s,0.97,0.61,510 ms,0.85
why safflower oil is bad for you,2,https://www.webmd.com/vitamins/ai/ingredientmono-96/safflower,0.54,0.92,1.7 s,0.01,0,"1,330 ms",0.89
